Chip Run Info,C:\Users\Teyton Lab\Contacts\Desktop\Marie data (Mouse)\Macrophages\041118MHMacropahges1-1\ChipRun.bml,1131264279,48.48 (113x),GE 48x48 Fast PCR+Melt v2,ROX,EvaGreen,4/11/2018 8:43:59 PM,00:31:53,BIOMARKHD178
Application Version,4.0.1
Application Build,20130423.0820
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,User
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S02-A01,7wImac2,Unknown,1,ABCA1,Test,15.4494050934391,1,Pass,0.0139966567593099,77.6527398148346,999,1,
S02-A02,7wImac2,Unknown,1,CD164,Test,15.4216976812842,1,Pass,0.0139966567593099,80.8679381317929,999,1,
S02-A03,7wImac2,Unknown,1,CXCL10,Test,19.2877134547611,0,Fail,0.0139966567593099,81.3578719090003,85.7555828102634,0.10594342598234,
S02-A04,7wImac2,Unknown,1,IL1A,Test,15.8136701266157,1,Pass,0.0139966567593099,78.3609697717664,999,1,
S02-A05,7wImac2,Unknown,1,LYVE1,Test,999,0,Fail,0.0139966567593099,999,999,0,
S02-A06,7wImac2,Unknown,1,SPP1,Test,18.0585584173585,1,Pass,0.0139966567593099,80.2518664621098,999,1,
S02-A07,7wImac2,Unknown,1,B2M,Test,9.16936831670384,1,Pass,0.0139966567593099,81.1727598669632,999,1,
S02-A08,7wImac2,Unknown,1,PDL1,Test,999,0,Fail,0.0139966567593099,999,999,0,
S02-A09,7wImac2,Unknown,1,CXCL9,Test,15.6026668010304,1,Pass,0.0139966567593099,80.4447355941002,999,1,
S02-A10,7wImac2,Unknown,1,IL1B,Test,19.1646750552975,0,Fail,0.0139966567593099,999,84.3346233732298,0,
S02-A11,7wImac2,Unknown,1,MDK,Test,18.6134868807101,1,Pass,0.0139966567593099,80.7883045445045,999,1,
S02-A12,7wImac2,Unknown,1,TLR4,Test,18.6582412786111,1,Pass,0.0139966567593099,78.8894404271227,999,1,
S02-A13,7wImac2,Unknown,1,CCL1,Test,999,0,Fail,0.0139966567593099,999,999,0,
S02-A14,7wImac2,Unknown,1,CD40,Test,999,0,Fail,0.0139966567593099,999,999,0,
S02-A15,7wImac2,Unknown,1,F4-80,Test,20.4189055917877,1,Pass,0.0139966567593099,81.7652220451471,999,1,
S02-A16,7wImac2,Unknown,1,IL6,Test,999,0,Fail,0.0139966567593099,999,999,0,
S02-A17,7wImac2,Unknown,1,PDPN,Test,999,0,Fail,0.0139966567593099,999,999,0,
S02-A18,7wImac2,Unknown,1,TPP1,Test,19.2866835590192,1,Pass,0.0139966567593099,80.4344126258101,999,1,
S02-A19,7wImac2,Unknown,1,CCL2,Test,19.290705522002,0,Fail,0.0139966567593099,999,84.906297253751,0,
S02-A20,7wImac2,Unknown,1,CD74,Test,8.10926598346624,1,Pass,0.0139966567593099,80.6071784224251,999,1,
S02-A21,7wImac2,Unknown,1,FCGR3,Test,23.1380637046487,0.97316827965338,Pass,0.0139966567593099,81.2713432505137,999,1,
S02-A22,7wImac2,Unknown,1,ITGAM,Test,999,0,Fail,0.0139966567593099,999,999,0,
S02-A23,7wImac2,Unknown,1,PROX1,Test,999,0,Fail,0.0139966567593099,999,999,0,
S02-A24,7wImac2,Unknown,1,VEGFC,Test,999,0,Fail,0.0139966567593099,999,999,0,
S02-A25,7wImac2,Unknown,1,CCL21A,Test,16.1213915696284,1,Pass,0.0139966567593099,77.8504501017076,999,1,
S02-A26,7wImac2,Unknown,1,CD80,Test,999,0,Fail,0.0139966567593099,999,999,0,
S02-A27,7wImac2,Unknown,1,VEGF-R3,Test,999,0,Fail,0.0139966567593099,999,999,0,
S02-A28,7wImac2,Unknown,1,ITGAX,Test,12.9548838873604,1,Pass,0.0139966567593099,80.1229038283685,999,1,
S02-A29,7wImac2,Unknown,1,S1PR1,Test,15.0253416073442,1,Pass,0.0139966567593099,86.0346811621481,999,1,
S02-A30,7wImac2,Unknown,1,XCR1,Test,999,0,Fail,0.0139966567593099,999,999,0,
S02-A31,7wImac2,Unknown,1,CCL22,Test,999,0,Fail,0.0139966567593099,999,999,0,
S02-A32,7wImac2,Unknown,1,CD86,Test,19.9148503198061,1,Pass,0.0139966567593099,80.1496188531851,999,1,
S02-A33,7wImac2,Unknown,1,H2-AA,Test,8.59260613645361,1,Pass,0.0139966567593099,84.6689594944508,999,1,
S02-A34,7wImac2,Unknown,1,LAMP2,Test,12.8858389916232,1,Pass,0.0139966567593099,81.9377055485718,999,1,
S02-A35,7wImac2,Unknown,1,SELENOP,Test,12.4109481433591,1,Pass,0.0139966567593099,80.8692240541446,999,1,
S02-A36,7wImac2,Unknown,1,blank1,Test,999,0,Fail,0.0139966567593099,999,999,0,
S02-A37,7wImac2,Unknown,1,CCR7,Test,22.7143930740091,1,Pass,0.0139966567593099,81.9414829209463,999,1,
S02-A38,7wImac2,Unknown,1,CSF1R,Test,10.9495458013544,1,Pass,0.0139966567593099,82.0401760761572,999,1,
S02-A39,7wImac2,Unknown,1,H2-DMA,Test,13.3745439667907,1,Pass,0.0139966567593099,82.9924053983524,999,1,
S02-A40,7wImac2,Unknown,1,LY6G,Test,999,0,Fail,0.0139966567593099,999,999,0,
S02-A41,7wImac2,Unknown,1,SGPL1,Test,14.6879081844285,1,Pass,0.0139966567593099,83.7401844400615,999,1,
S02-A42,7wImac2,Unknown,1,blank2,Test,999,0,Fail,0.0139966567593099,999,999,0,
S02-A43,7wImac2,Unknown,1,CD14,Test,15.5979971594539,1,Pass,0.0139966567593099,83.3958385966876,999,1,
S02-A44,7wImac2,Unknown,1,CTSD,Test,18.9988481305034,1,Pass,0.0139966567593099,82.2323919530658,999,1,
S02-A45,7wImac2,Unknown,1,IL10,Test,999,0,Fail,0.0139966567593099,999,999,0,
